Product ID,Product Name,Product Description,Category,Brand,Cost Price,Selling Price,Discount (%),Stock Quantity,Stock Status,Delivery Time,Shipping Cost,Free Shipping,Return Policy,Specifications,Tags/Keywords,Ratings,Reviews Count,Frequently Bought Together
110,HP Envy x360,"2-in-1 Convertible Laptop, Ryzen 7, 16GB RAM",Computers,HP,120.26,1895.67,26,453,In Stock,1-3 Days,5.7,No,14 Days Return,"Feature A, Feature B, Feature C","hp, envy, x360, best-seller",4.3,2934,Bose QuietComfort Earbuds II
111,Microsoft Surface Pro 9,"2-in-1 Tablet, 16GB RAM, 512GB SSD",Computers,Microsoft,1594.87,2169.74,9,107,In Stock,2-5 Days,0.59,No,7 Days Return,"Feature A, Feature B, Feature C","microsoft, surface, pro, 9, best-seller",4.2,4354,Lenovo Legion 5 Pro
112,Dell XPS 15,"15.6-inch Laptop, Intel i7, 16GB RAM, 512GB SSD",Computers,Dell,806.39,1583.3,14,95,In Stock,3-7 Days,9.38,Yes,Non-returnable,"Feature A, Feature B, Feature C","dell, xps, 15, best-seller",3.6,1573,Garmin Fenix 7
113,Garmin Fenix 7,"Multisport GPS Watch, Sapphire Solar Edition",Wearables,Garmin,147.64,1023.65,28,216,In Stock,3-7 Days,4.94,Yes,Non-returnable,"Feature A, Feature B, Feature C","garmin, fenix, 7, best-seller",3.7,1610,Philips Air Fryer XXL
114,Bose QuietComfort Earbuds II,"Wireless Earbuds, Noise Cancelling",Electronics,Bose,1457.85,843.61,22,71,In Stock,1-3 Days,2.36,Yes,Non-returnable,"Feature A, Feature B, Feature C","bose, quietcomfort, earbuds, ii, best-seller",4.0,268,Lenovo Legion 5 Pro
115,Samsung Galaxy S23 Ultra,"256GB, 200MP Camera, 5000mAh Battery",Electronics,Samsung,490.05,1133.73,7,17,Out of Stock,1-3 Days,5.42,No,30 Days Return,"Feature A, Feature B, Feature C","samsung, galaxy, s23, ultra, best-seller",4.3,204,Garmin Fenix 7
116,GoPro Hero 12 Black,"Waterproof Action Camera, 5.3K Video",Electronics,GoPro,1571.87,113.99,21,421,In Stock,2-5 Days,8.06,No,7 Days Return,"Feature A, Feature B, Feature C","gopro, hero, 12, black, best-seller",3.9,1524,HP Envy x360
117,Microsoft Surface Pro 9,"2-in-1 Tablet, 16GB RAM, 512GB SSD",Computers,Microsoft,330.94,1938.54,13,297,In Stock,5-10 Days,3.69,Yes,14 Days Return,"Feature A, Feature B, Feature C","microsoft, surface, pro, 9, best-seller",4.6,1985,Apple MacBook Air M2
118,Samsung Galaxy S23 Ultra,"256GB, 200MP Camera, 5000mAh Battery",Electronics,Samsung,1898.1,338.52,29,153,In Stock,5-10 Days,7.03,No,30 Days Return,"Feature A, Feature B, Feature C","samsung, galaxy, s23, ultra, best-seller",4.8,2614,Samsung Galaxy Watch 6
119,Adidas Ultraboost 22,High-Performance Running Shoes,Footwear,Adidas,833.23,1234.13,9,222,In Stock,2-5 Days,6.53,No,30 Days Return,"Feature A, Feature B, Feature C","adidas, ultraboost, 22, best-seller",4.2,1055,Instant Pot Duo
120,Apple MacBook Air M2,"13-inch, 8GB RAM, 256GB SSD",Computers,Apple,330.41,853.23,25,337,In Stock,2-5 Days,9.95,No,30 Days Return,"Feature A, Feature B, Feature C","apple, macbook, air, m2, best-seller",4.5,4580,Samsung Galaxy S23 Ultra
121,Samsung Galaxy Watch 6,"Smartwatch, AMOLED Display, Health Tracking",Wearables,Samsung,1666.09,1248.29,16,426,In Stock,3-7 Days,5.57,No,Non-returnable,"Feature A, Feature B, Feature C","samsung, galaxy, watch, 6, best-seller",4.3,3275,Bose QuietComfort Earbuds II
122,Dell XPS 15,"15.6-inch Laptop, Intel i7, 16GB RAM, 512GB SSD",Computers,Dell,85.23,2193.43,18,65,In Stock,2-5 Days,4.71,Yes,14 Days Return,"Feature A, Feature B, Feature C","dell, xps, 15, best-seller",4.7,292,Sony Alpha A7 IV
123,GoPro Hero 12 Black,"Waterproof Action Camera, 5.3K Video",Electronics,GoPro,112.28,1708.13,16,294,In Stock,1-3 Days,0.23,Yes,Non-returnable,"Feature A, Feature B, Feature C","gopro, hero, 12, black, best-seller",4.7,4576,Garmin Fenix 7
124,Breville Barista Pro,"Espresso Machine, Built-in Grinder",Home & Kitchen,Breville,1123.35,369.88,20,110,In Stock,2-5 Days,1.04,Yes,Non-returnable,"Feature A, Feature B, Feature C","breville, barista, pro, best-seller",3.7,1075,Samsung Galaxy Watch 6
125,GoPro Hero 12 Black,"Waterproof Action Camera, 5.3K Video",Electronics,GoPro,1184.84,2462.54,22,296,In Stock,1-3 Days,9.24,Yes,Non-returnable,"Feature A, Feature B, Feature C","gopro, hero, 12, black, best-seller",4.5,518,Samsung Galaxy S23 Ultra
126,HP Envy x360,"2-in-1 Convertible Laptop, Ryzen 7, 16GB RAM",Computers,HP,694.07,1500.14,9,419,In Stock,5-10 Days,7.26,Yes,14 Days Return,"Feature A, Feature B, Feature C","hp, envy, x360, best-seller",3.7,102,JBL Charge 5
127,Microsoft Surface Pro 9,"2-in-1 Tablet, 16GB RAM, 512GB SSD",Computers,Microsoft,1736.13,907.54,21,76,In Stock,2-5 Days,9.6,Yes,30 Days Return,"Feature A, Feature B, Feature C","microsoft, surface, pro, 9, best-seller",4.1,319,GoPro Hero 12 Black
128,Nike Air Zoom Pegasus 39,"Men's Running Shoes, Lightweight & Breathable",Footwear,Nike,1177.77,1606.15,11,64,In Stock,3-7 Days,2.13,Yes,Non-returnable,"Feature A, Feature B, Feature C","nike, air, zoom, pegasus, 39, best-seller",4.6,4396,Apple iPad Pro 12.9
129,Instant Pot Duo,7-in-1 Electric Pressure Cooker,Home & Kitchen,Instant Pot,597.73,2256.7,24,132,In Stock,2-5 Days,8.61,Yes,Non-returnable,"Feature A, Feature B, Feature C","instant, pot, duo, best-seller",4.2,1919,Bose QuietComfort Earbuds II
130,HP Envy x360,"2-in-1 Convertible Laptop, Ryzen 7, 16GB RAM",Computers,HP,611.98,1710.69,30,417,Out of Stock,2-5 Days,8.15,Yes,14 Days Return,"Feature A, Feature B, Feature C","hp, envy, x360, best-seller",4.4,206,Samsung Galaxy S23 Ultra
131,Dell XPS 15,"15.6-inch Laptop, Intel i7, 16GB RAM, 512GB SSD",Computers,Dell,1947.53,1404.18,10,147,In Stock,2-5 Days,5.63,Yes,30 Days Return,"Feature A, Feature B, Feature C","dell, xps, 15, best-seller",4.9,2714,GoPro Hero 12 Black
132,Bose QuietComfort Earbuds II,"Wireless Earbuds, Noise Cancelling",Electronics,Bose,542.38,254.18,15,424,In Stock,3-7 Days,9.36,Yes,Non-returnable,"Feature A, Feature B, Feature C","bose, quietcomfort, earbuds, ii, best-seller",4.1,922,Samsung Odyssey G9
133,Sony Alpha A7 IV,"Mirrorless Camera, 33MP, 4K Video",Electronics,Sony,118.17,835.68,6,165,In Stock,5-10 Days,0.96,Yes,Non-returnable,"Feature A, Feature B, Feature C","sony, alpha, a7, iv, best-seller",4.2,4085,LG C2 OLED TV
134,Sony Alpha A7 IV,"Mirrorless Camera, 33MP, 4K Video",Electronics,Sony,709.02,160.24,15,349,In Stock,2-5 Days,1.49,Yes,30 Days Return,"Feature A, Feature B, Feature C","sony, alpha, a7, iv, best-seller",4.4,3893,Dell XPS 15
135,Garmin Fenix 7,"Multisport GPS Watch, Sapphire Solar Edition",Wearables,Garmin,1970.51,1695.81,15,247,In Stock,3-7 Days,2.88,No,Non-returnable,"Feature A, Feature B, Feature C","garmin, fenix, 7, best-seller",3.9,1976,HP Envy x360
136,Sony WH-1000XM5,Noise Cancelling Wireless Headphones,Electronics,Sony,926.12,622.18,8,75,Out of Stock,1-3 Days,7.87,No,7 Days Return,"Feature A, Feature B, Feature C","sony, wh-1000xm5, best-seller",4.7,1035,HP Envy x360
137,HP Envy x360,"2-in-1 Convertible Laptop, Ryzen 7, 16GB RAM",Computers,HP,465.77,1291.18,9,498,In Stock,5-10 Days,4.6,Yes,14 Days Return,"Feature A, Feature B, Feature C","hp, envy, x360, best-seller",3.6,1367,Breville Barista Pro
138,GoPro Hero 12 Black,"Waterproof Action Camera, 5.3K Video",Electronics,GoPro,797.65,1826.54,18,309,In Stock,2-5 Days,0.66,No,Non-returnable,"Feature A, Feature B, Feature C","gopro, hero, 12, black, best-seller",4.9,2078,Adidas Ultraboost 22
139,Canon EOS R6 Mark II,"Full-Frame Mirrorless Camera, 24MP, 4K60",Electronics,Canon,656.7,1554.39,5,108,In Stock,5-10 Days,5.6,No,Non-returnable,"Feature A, Feature B, Feature C","canon, eos, r6, mark, ii, best-seller",4.0,3236,Breville Barista Pro
140,Apple Watch Series 9,"GPS + Cellular, 45mm, Midnight Aluminum",Wearables,Apple,823.71,1035.75,21,82,In Stock,5-10 Days,0.84,No,Non-returnable,"Feature A, Feature B, Feature C","apple, watch, series, 9, best-seller",4.4,4296,Canon EOS R6 Mark II
141,GoPro Hero 12 Black,"Waterproof Action Camera, 5.3K Video",Electronics,GoPro,233.18,1194.14,10,21,In Stock,3-7 Days,9.84,Yes,Non-returnable,"Feature A, Feature B, Feature C","gopro, hero, 12, black, best-seller",3.6,2291,Philips Air Fryer XXL
142,Philips Air Fryer XXL,"Digital, 7L Capacity, Fat-Reduction Technology",Home & Kitchen,Philips,481.13,431.49,18,30,In Stock,1-3 Days,6.14,No,30 Days Return,"Feature A, Feature B, Feature C","philips, air, fryer, xxl, best-seller",4.4,2970,Sony WH-1000XM5
143,Samsung Galaxy S23 Ultra,"256GB, 200MP Camera, 5000mAh Battery",Electronics,Samsung,1273.88,2051.66,10,397,In Stock,1-3 Days,5.81,No,7 Days Return,"Feature A, Feature B, Feature C","samsung, galaxy, s23, ultra, best-seller",4.3,3816,Sony WH-1000XM5
144,Lenovo Legion 5 Pro,"Gaming Laptop, RTX 4070, 32GB RAM, 1TB SSD",Computers,Lenovo,1759.52,535.72,27,251,In Stock,1-3 Days,7.87,Yes,30 Days Return,"Feature A, Feature B, Feature C","lenovo, legion, 5, pro, best-seller",4.7,3637,Garmin Fenix 7
145,Garmin Fenix 7,"Multisport GPS Watch, Sapphire Solar Edition",Wearables,Garmin,1842.53,2119.47,22,297,In Stock,1-3 Days,8.28,No,7 Days Return,"Feature A, Feature B, Feature C","garmin, fenix, 7, best-seller",5.0,297,Apple Watch Series 9
146,GoPro Hero 12 Black,"Waterproof Action Camera, 5.3K Video",Electronics,GoPro,1965.49,1905.72,28,197,In Stock,1-3 Days,3.6,Yes,Non-returnable,"Feature A, Feature B, Feature C","gopro, hero, 12, black, best-seller",3.8,2785,Instant Pot Duo
147,Apple Watch Series 9,"GPS + Cellular, 45mm, Midnight Aluminum",Wearables,Apple,1967.37,973.03,27,204,Out of Stock,3-7 Days,7.16,No,30 Days Return,"Feature A, Feature B, Feature C","apple, watch, series, 9, best-seller",3.9,1285,Apple iPad Pro 12.9
148,Apple iPad Pro 12.9,"M2 Chip, 256GB, Wi-Fi + Cellular",Electronics,Apple,623.16,1631.67,10,17,In Stock,3-7 Days,5.53,Yes,7 Days Return,"Feature A, Feature B, Feature C","apple, ipad, pro, 12.9, best-seller",3.7,3788,Garmin Fenix 7
149,Microsoft Surface Pro 9,"2-in-1 Tablet, 16GB RAM, 512GB SSD",Computers,Microsoft,1895.62,1980.46,29,449,In Stock,3-7 Days,7.13,No,7 Days Return,"Feature A, Feature B, Feature C","microsoft, surface, pro, 9, best-seller",4.6,3567,Breville Barista Pro
